,tm1xvm1,tm1xum1,tm1xqm1,vm1xum1,vm1xqm1,um1xqm1
39,0.09754110108008943,0.2201409105370799,0.39845750858307405,0.08567040220385089,0.09228061168879069,0.19265553983715122
40,0.1079475656100658,0.26167595962576234,0.3964679344256029,0.09742309036805402,0.08740922398385674,0.20343034877955604
41,0.08249355866865009,0.31742049040208353,0.34895958269897404,0.09370781105460141,0.0804603956061357,0.24044326222790285
42,0.09479033021159876,0.32788301663735975,0.33456210916055074,0.09576766789592503,0.07797308425560291,0.2581452868197452
43,0.1130752634756276,0.300107460092176,0.3765267182795213,0.11260446224834178,0.09341214113645475,0.23266402452181148
44,0.12238074658747308,0.2747941594575739,0.4112597637105917,0.13350005503453205,0.08453309785088653,0.21642795178667434
45,0.10232081016753816,0.22479449779271599,0.3737343503887405,0.09134574233838297,0.07871590584495736,0.1833336468665471
46,0.0925481400921039,0.22090668993957918,0.36502842728120893,0.09511588337243346,0.08539721588185518,0.20881452794979113
47,0.1149958516702776,0.23023423186853906,0.31308322101189706,0.12152828620301749,0.0881919935671561,0.2041860811494405
48,0.08220346811593042,0.22576574582021802,0.31142169683385423,0.09638910645627338,0.0728607262317008,0.2176246658316666
49,0.08900512178090554,0.24245813355412438,0.34303293494277387,0.0988924760629906,0.0787673383224819,0.2234902689134105
50,0.08784449087287553,0.23370821253962437,0.4043916874761962,0.08874401677778573,0.08100146288193157,0.2174380008249068
51,0.08543303259919797,0.218644537976787,0.41484229632808783,0.07718335390715755,0.08369194859217365,0.18955600731305947
52,0.1032116785200558,0.2635466623322814,0.3776106854453595,0.09487122416699985,0.07799785405654736,0.20033292772237368
53,0.10538160045211785,0.3187236391740073,0.3410039178035335,0.11263632509584022,0.0908378064494746,0.23550212872308035
54,0.12863713579443595,0.3135474262879865,0.3285704671270748,0.1207184987896266,0.09374488480780424,0.24649619685407972
55,0.12776877556991684,0.3021518274087865,0.36440710545782656,0.13809042374696773,0.08671717413144409,0.22497524280803186
56,0.10572171802378534,0.26187588426855923,0.421282188811653,0.11369935580257019,0.08640461992539,0.20700741465073097
57,0.09380528091198831,0.24889131416493696,0.3758092773560676,0.08208387002913389,0.08027365395874458,0.19627006525340074
58,0.09928103183272341,0.20245031213421322,0.33792487262828785,0.09556814262103637,0.08709746025906014,0.20998919178075082
59,0.09709195081717459,0.23391427234190748,0.3064524362951751,0.10970023254923442,0.08552329163478185,0.1793474071191493
60,0.11039051573631663,0.2409630149684969,0.2950912975044422,0.12259518250310765,0.08148870061865547,0.2061210653992458
61,0.10860571692137096,0.22399961731523876,0.3601888063021718,0.10476119640731738,0.08174876844028142,0.2188415604648846
62,0.09060543444381595,0.2645476970115554,0.43469637927218097,0.07961148333383437,0.08232256087200207,0.26296044723146206
63,0.08444269648857095,0.24283175576332686,0.39564571787002667,0.08544944932187062,0.09095407122802485,0.20670348171589853
64,0.09408714067111223,0.2715526809234873,0.3800320396452322,0.11123714032530728,0.08559901804993812,0.21031655315025505
65,0.10273891362229101,0.3099460895619093,0.32427990553728,0.10672340367696366,0.08187352469488127,0.24368750721870827
66,0.11289386959721784,0.31913030335512627,0.3278908631021888,0.12013417874122813,0.08314713521855287,0.26328269765230927
67,0.12168616332799675,0.32244558565083026,0.36972866608612825,0.13181589646866984,0.09438946390811172,0.2533228832743717
68,0.1311331807090256,0.26213487300864835,0.39746051383591374,0.1232616698767996,0.09008288229108435,0.21709507621336457
69,0.11277253626939528,0.23681816835962285,0.3772064368110575,0.10872349198604887,0.09331766359059557,0.19253687066161834
70,0.09327198851064085,0.17909199718795044,0.31589869802660886,0.07470356987399245,0.08088583919840674,0.1875036800884889
71,0.10753381859269802,0.2236357798973795,0.2871659122229015,0.10649780785782115,0.08061819419223869,0.1779119136873815
72,0.09616448577988196,0.20585012837498293,0.2854782467265084,0.09131122718056787,0.07973789396297706,0.20201758390223762
73,0.09593155260973892,0.22776353244391115,0.3748615648955924,0.11256879109106924,0.08743562423710968,0.20590814694829898
74,0.08706771849516103,0.262318906243516,0.3953114448323503,0.0996563157457741,0.08611000524308124,0.2594700977304846
75,0.1006566619683354,0.21502617184391726,0.387577120485772,0.08486973177114772,0.10068480859866108,0.19829108129265482
